fold,regression_mean_ic,regression_icir,regression_n_dates,classification_auc,classification_brier,classification_pos_rate
1,-0.01613674045749118,-0.09968674576003188,252,0.5970777320053066,0.23122601211071014,0.33652349828820416
2,0.01643950334205343,0.08718483939995862,252,0.6198800702443821,0.17344187200069427,0.23257080610021785
3,0.03646879404743379,0.3127223113328246,251,0.6594277010386469,0.13577160239219666,0.15377704866807282
4,0.027718511418173053,0.15594889919542995,251,0.6002445336623679,0.26506561040878296,0.41988907116631513
5,0.03339466136714338,0.24932615577270378,252,0.6273610791263091,0.17808426916599274,0.24789915966386555
6,0.0820722290220629,0.6808338050782207,253,0.5985547193534999,0.2596410810947418,0.4158644589911436
7,0.0012882389632175504,0.007449725522841647,252,0.6530244530977849,0.20665903389453888,0.31328542331194037
8,-0.06435473384478844,-0.315486548543758,251,0.6269076514421539,0.29547327756881714,0.5286874309023675
