fold,regression_mean_ic,regression_icir,regression_n_dates,classification_auc,classification_brier,classification_pos_rate
1,0.0076692079499551076,0.05612912872743249,252,0.5970777320053066,0.23122601211071014,0.33652349828820416
2,0.012653788876174677,0.06951358896899612,252,0.6198800702443821,0.17344187200069427,0.23257080610021785
3,0.0532294983182443,0.3972421090256818,251,0.6594277010386469,0.13577160239219666,0.15377704866807282
4,-0.006761427912249782,-0.03908241085005968,251,0.6002445336623679,0.26506561040878296,0.41988907116631513
5,0.03640278251100688,0.22839613938049555,252,0.6273610791263091,0.17808426916599274,0.24789915966386555
6,0.0822107450262691,0.6045710104563651,253,0.5985547193534999,0.2596410810947418,0.4158644589911436
7,-0.0007923856622559462,-0.004516808305908587,252,0.6530244530977849,0.20665903389453888,0.31328542331194037
8,-0.06897673323659409,-0.39864560666359256,251,0.6269076514421539,0.29547327756881714,0.5286874309023675
