fold,regression_mean_ic,regression_icir,regression_n_dates,classification_auc,classification_brier,classification_pos_rate
1,0.036282521042225936,0.26001188052128826,252,0.6011324009216559,0.23026157915592194,0.33652349828820416
2,0.01997606111114909,0.10861017853401202,252,0.6231960367913618,0.1730622947216034,0.23257080610021785
3,0.03214405183518633,0.259157242439509,251,0.6616636499831966,0.13560208678245544,0.15377704866807282
4,-0.005275106820381946,-0.028664805276003343,251,0.5994704244671456,0.2650323808193207,0.41988907116631513
5,0.07433309636441116,0.47907660809540725,252,0.6273161339849531,0.17809860408306122,0.24789915966386555
6,0.08272509639208095,0.614381313969376,253,0.6010318336629312,0.2589734196662903,0.4158644589911436
7,0.0014751793174327284,0.008371573800202708,252,0.6539829540427551,0.20667311549186707,0.31328542331194037
8,-0.050449409743679945,-0.264502287408823,251,0.6285114126861553,0.2959704101085663,0.5286874309023675
