fold,regression_mean_ic,regression_icir,regression_n_dates,classification_auc,classification_brier,classification_pos_rate
1,-0.021315680501933908,-0.13628861057399988,252,0.6085512560916666,0.23160748183727264,0.33652349828820416
2,0.03960265328848016,0.2153201384664478,252,0.5909681268371674,0.17586655914783478,0.23257080610021785
3,0.02322374500341696,0.1563754633338271,251,0.6400277190584384,0.13996441662311554,0.15377704866807282
4,-0.0098519557757329,-0.05503811234575681,251,0.5875047382233385,0.2610624134540558,0.41988907116631513
5,0.01681992165974852,0.12150317949902467,252,0.5762713975079001,0.18473291397094727,0.24789915966386555
6,0.01981229569994738,0.08976790882837543,253,0.5168239458971167,0.2535891830921173,0.4158644589911436
7,0.02698739576514417,0.15513158950807246,252,0.6325888687438528,0.20530198514461517,0.31328542331194037
8,-0.10127097010483335,-0.39294178913106526,251,0.5828784487501331,0.27674150466918945,0.5286874309023675
