fold,regression_mean_ic,regression_icir,regression_n_dates,classification_auc,classification_brier,classification_pos_rate
1,-0.013572836616310488,-0.10113805207061365,252,0.5895735782495725,0.23154500126838684,0.33652349828820416
2,0.0826067272696796,0.42563655271412326,252,0.6297385845501232,0.1731889396905899,0.23257080610021785
3,0.02388422507520142,0.1687899688202105,251,0.6592849437256688,0.13484036922454834,0.15377704866807282
4,-0.023199682539808347,-0.12551693789950266,251,0.5955225574505665,0.2651447355747223,0.41988907116631513
5,0.07209526395804441,0.27472817787412873,252,0.6228527847365017,0.17872442305088043,0.24789915966386555
6,0.04907197471240614,0.2067368685316082,253,0.6009416184477161,0.2595822215080261,0.4158644589911436
7,0.006823524779590695,0.03429307973140931,252,0.6544198204894404,0.20714221894741058,0.31328542331194037
8,-0.06155008363297572,-0.3229473988138971,251,0.6291547894488054,0.2956691086292267,0.5286874309023675
