fold,regression_mean_ic,regression_icir,regression_n_dates,classification_auc,classification_brier,classification_pos_rate
1,-0.02157796103274544,-0.16329810342074788,252,0.5855610942731385,0.23087291419506073,0.33652349828820416
2,0.14936525118285926,1.0517779690228553,252,0.6186988363191991,0.17475807666778564,0.23257080610021785
3,0.03305677438018352,0.3067948677632466,251,0.6529230604734,0.13430315256118774,0.15377704866807282
4,-0.037504954532883016,-0.23228310507355818,251,0.5906163229132088,0.26486727595329285,0.41988907116631513
5,0.0578265009033412,0.3219934537963379,252,0.6170986457732197,0.1794205754995346,0.24789915966386555
6,0.09975491769915593,0.6035607415619777,253,0.6010397043384849,0.25820600986480713,0.4158644589911436
7,-0.0018710284711345418,-0.0113025793037613,252,0.6538561966983462,0.20750486850738525,0.31328542331194037
8,-0.05897029044662859,-0.21198484261280043,251,0.6237032435632985,0.2944353520870209,0.5286874309023675
