variant,horizon,mean_ic,icir,worst_fold_ic,best_fold_ic,auc,brier,verdict,stage4_ready,notes
v1,21d,-0.0006963368693123995,-0.0036556459628745886,-0.10127097010483335,0.03960265328848016,0.6112706500244387,0.21631011366844177,RED,yes,baseline
v2a,21d,0.02397795477394433,0.14312973867137888,-0.050449409743679945,0.08272509639208095,0.6141108533541212,0.21821121871471405,RED,yes,rank features
v2b,21d,0.014520784174396988,0.0879987693134965,-0.06897673323659409,0.0822107450262691,0.6125729211923888,0.2184208780527115,RED,yes,rank + sector-excess
v2c,21d,0.014666651712794427,0.08783691526826318,-0.06435473384478844,0.0820722290220629,0.6125729211923888,0.2184208780527115,RED,partial,rank target; mu-hat needs mapping for Stage 4
v2d,21d,0.017091377355153214,0.08449632611590104,-0.06155008363297572,0.0826067272696796,0.6144693821013586,0.21848146617412567,RED,yes,sector-neutral (no sector one-hots)
v3a,63d,0.029348937847873884,0.1667790284619849,-0.09291040244380515,0.14515434661111634,0.6172010098960443,0.2181343287229538,RED,yes,63-day horizon (v2a features)
v3d,63d,0.02761823943803369,0.14903071113820132,-0.05897029044662859,0.14936525118285926,0.6170760887039499,0.21829472482204437,RED,yes,63-day sector-neutral
