fold,regression_mean_ic,regression_icir,regression_n_dates,classification_auc,classification_brier,classification_pos_rate
1,0.0005169275567287049,0.003593854480096563,252,0.5909571805573727,0.23058660328388214,0.33652349828820416
2,0.14515434661111634,1.142814604641547,252,0.6120644482131871,0.1737140715122223,0.23257080610021785
3,0.018504701481353265,0.1861139261599988,251,0.6537843174001603,0.1349782645702362,0.15377704866807282
4,-0.001983857046691276,-0.01299101405260924,251,0.599368206615349,0.2666349709033966,0.41988907116631513
5,0.05724032934835086,0.29863452199433177,252,0.619307143592863,0.17881828546524048,0.24789915966386555
6,0.12016558686170092,0.9884991002820498,253,0.6020020447276544,0.2575334906578064,0.4158644589911436
7,-0.01290903839753477,-0.1100225171037883,252,0.6558653086735099,0.20623548328876495,0.31328542331194037
8,-0.09291040244380515,-0.34584417950796575,251,0.6267246856525308,0.29460710287094116,0.5286874309023675
